id,milestone
1119835,UseBlankTemplate
1138889,CopyProj
1138889,InsertLinkAnchor
1138889,InsertTableImage
1138889,ManageTab
1138889,ProjPreview
1138889,ReEditProj
1138889,ReportsTab
1138889,SendNow
1138889,TestSend
1139418,CopyProj
1139418,InsertLinkAnchor
1139418,InsertTableImage
1139418,LinkActivity
1139418,ManageFilters
1139418,ManageTab
1139418,MobileFriendly
1139418,OpenData
1139418,OpenReport
1139418,OpenReportList
1139418,OpensAndBounces
1139418,OpensByPlatform
1139418,PrevMobileVersio
1139418,ProjPreview
1139418,ReEditProj
1139418,ReportsTab
1139418,ReSchedProj
1139418,SEBackColors
1139418,SEDeleteElement
1139418,SEDragIn
1139418,SEDragMove
1139418,SEDragResize
1139418,SendLater
1139418,SendNow
1139418,SEPadding
1139418,SocialAutoPost
1139418,TableSort
1139418,TestSend
1139418,TxtFontSizeColor
1139418,TxtViewSource
1139418,UnopenedData
1139418,UserAgent
1147234,UseBlankTemplate
1157705,AdvProjCreate
1157705,CopyProj
1157705,DeleteProj
1157705,InsertLinkAnchor
1157705,InsertList
1157705,InsertTableImage
1157705,LinkActivity
1157705,Location
1157705,ManageTab
1157705,OpenData
1157705,OpenReport
1157705,OpensAndBounces
1157705,OpensByPlatform
1157705,ProjPreview
1157705,ReEditProj
1157705,ReportsTab
1157705,ReSchedProj
1157705,SendLater
1157705,SendNow
1157705,SimpleProjCreate
1157705,SocialAutoPost
1157705,SpellSearch
1157705,TestSend
1157705,TxtBIUS
1157705,TxtFontSizeColor
1157705,TxtIndentJustify
1157705,TxtViewSource
1157705,UnopenedData
1157705,UseBlankTemplate
1157705,UserAgent
1158720,DeleteProj
1158720,InsertLinkAnchor
1158720,InsertList
1158720,InsertTableImage
1158720,ManageTab
1158720,ProjPreview
1158720,PublishTemplate
1158720,ReEditProj
1158720,ReportsTab
1158720,ReSchedProj
1158720,SendLater
1158720,SendNow
1158720,SocialAutoPost
1158720,SpellSearch
1158720,SubjectMergeTags
1158720,TestSend
1158720,TxtBIUS
1158720,TxtFontSizeColor
1158720,TxtIndentJustify
1158720,TxtStylesFormats
1165760,UseBlankTemplate
1174274,UseBlankTemplate
1177945,UseBlankTemplate
1178578,AddImage
1178578,CaptionedImages
1178578,ImageProperties
1178578,ImportProjFileUR
1178578,InsertList
1178578,InsertTableImage
1178578,ManageTab
1178578,PrevTextVersion
1178578,ProjPreview
1178578,ReEditProj
1178578,ReportsTab
1178578,ReSchedProj
1178578,SEBackColors
1178578,SEBorders
1178578,SEDeleteElement
1178578,SEDragIn
1178578,SEDragMove
1178578,SEDragResize
1178578,SendNow
1178578,SimpleProjCreate
1178578,SocialShareEleme
1178578,TestSend
1178578,TxtBIUS
1178578,TxtFontSizeColor
1178578,TxtIndentJustify
1178578,TxtMergeTags
1178578,TxtStylesFormats
1178578,TxtViewSource
1178578,UploadImage
1181558,CopyProj
